personId,source
1,LVMH
2,Tesla
2,SpaceX
3,Amazon
4,Oracle
5,Berkshire Hathaway
6,Microsoft
7,Bloomberg LP
8,Telecom
9,Diversified
10,Microsoft
11,L'Or̩al
12,Google
13,Zara
14,Google
15,Beverages
15,pharmaceuticals
16,Facebook
17,Koch Industries
18,Koch Industries
19,Walmart
20,Walmart
21,Walmart
22,Media
23,Dell Technologies
24,Infrastructure
24,commodities
25,Nike
26,TikTok
27,Retail
28,Luxury goods
29,Shipping
30,Nutella
30,chocolates
31,Candy
31,pet food
32,Candy
32,pet food
33,Diversified
34,Internet media
35,Casinos
36,Hedge funds
37,Red Bull
38,Batteries
39,Fashion retail
40,Music
40,chemicals
41,Chanel
42,Chanel
43,Shipping
44,Shipping
45,E-commerce
46,Fasteners
47,Real estate
48,Trading
48,investments
49,Hedge funds
50,Investments
51,BMW
51,pharmaceuticals
52,Mining
53,Online games
54,Mining
55,software services
56,Coal
57,Discount brokerage
58,Fertilizers
58,coal
59,BMW
60,Amazon
61,Banking
61,tobacco
62,Metals
63,E-commerce
64,Home appliances
65,Mining
66,Banking
66,tobacco
67,Chemicals
68,Vaccines
69,Internet
69,telecom
70,Steel
70,transport
71,Cheese
72,Fidelity
73,Gas
73,chemicals
74,Walmart
75,Package delivery
76,Semiconductors
77,Estee Lauder
78,Sensors
79,Steel
79,investments
80,Oil
81,Hospitals
82,Mining
83,Hedge funds
84,Automobiles
85,Mining
85,copper products
86,Real estate
86,shipping
87,Pig breeding
88,Batteries
88,automobiles
89,Oil & gas
90,Hedge funds
91,Oil
91,gas
92,Quicken Loans
93,Steel
94,Hedge funds
95,Investments
96,Steel
97,Real estate
98,Home improvement stores
99,Newspapers
99,TV network
100,Banking
101,Aldi
101,Trader Joe's
102,Finance
102,telecommunications
103,medical devices
104,H&M
105,Google
106,Hedge funds
107,Soy sauce
108,Supermarkets
109,Beer
110,Real estate
111,Pharmaceuticals
112,Wireless networking
113,Retail
113,investments
114,Batteries
115,Diversified
116,Retail
117,Alcohol
117,real estate
118,Heineken
119,Medical devices
120,Automobiles
121,Steel
121,telecom
121,investments
122,Paints
123,Commodities
124,Cement
124,sugar
125,Real estate
126,Shipping
127,Hospitals
128,Casinos/hotels
129,Shipping
130,Building supplies
131,WhatsApp
132,Dallas Cowboys
133,Oil & gas
133,banking
134,Real estate
135,Automobiles
135,batteries
136,Real estate
137,Banking
138,Sports
138,real estate
139,Oil
139,banking
139,telecom
140,Energy
141,Coal
142,Vaccines
143,Auto parts
144,Apple
144,Disney
145,Palm oil
145,shipping
145,property
146,Real estate
147,Messaging app
148,Pharmaceuticals
149,Pharmaceuticals
150,Agribusiness
151,Online retail
152,Hedge funds
153,Fertilizer
153,real estate
154,Manufacturing
155,Investments
156,Luxury goods
157,Luxury goods
158,Video surveillance
159,Internet media
160,Energy
160,sports
160,entertainment
161,Gas stations
162,Retail
162,media
163,Media
164,Manufacturing
164,New England Patriots
165,Beer
166,Gold
167,E-commerce
168,Cryptocurrency exchange
169,Banks
169,real estate
170,Software
171,Medical devices
172,Business software
173,Oil
174,Steel
175,Facebook
176,Auto parts
177,Walmart
178,Software
179,Banking
179,property
180,Real estate
181,Oil
182,Diversified
183,Infrastructure
183,commodities
184,Hermes
185,Shipping
186,Shipping
187,Shipping
188,Investments
189,Fertilizers
190,Private equity
191,Smartphones
192,Manufacturing
193,Pharmaceuticals
194,Warehouse automation
195,Solar panels
196,Chemicals
197,Candy
197,pet food
198,Candy
198,pet food
199,Candy
199,pet food
200,Candy
200,pet food
201,Investments
202,Diversified
